neuron_id,spike_time_ms
ADAL,41.5
ADAL,92.0
ADAL,142.5
ADAL,193.0
ADAL,243.0
ADAL,292.5
ADAL,342.0
ADAL,392.0
ADAL,441.5
ADAL,491.5
ADAR,61.5
ADAR,130.5
ADAR,226.5
ADAR,318.0
ADAR,400.0
ADAR,481.0
ADER,26.0
ADER,60.0
ADER,93.5
ADER,127.0
ADER,160.5
ADER,194.0
ADER,227.5
ADER,260.5
ADER,294.0
ADER,328.0
ADER,361.0
ADER,395.0
ADER,429.0
ADER,462.5
ADER,496.0
ADFR,25.5
ADFR,57.5
ADFR,90.0
ADFR,122.5
ADFR,154.5
ADFR,187.0
ADFR,219.5
ADFR,251.5
ADFR,284.0
ADFR,316.0
ADFR,348.5
ADFR,381.0
ADFR,413.5
ADFR,446.0
ADFR,478.5
AIBR,68.5
AIBR,141.5
AIBR,216.0
AIBR,290.5
AIBR,355.0
AIBR,439.0
AIML,73.0
AIML,156.0
AIML,237.5
AIML,325.5
AIML,407.0
AIML,499.0
AINL,41.0
AINL,91.5
AINL,139.5
AINL,190.5
AINL,239.5
AINL,288.0
AINL,336.0
AINL,385.5
AINL,436.0
AINL,483.5
AIYR,21.5
AIYR,46.5
AIYR,70.5
AIYR,97.0
AIYR,123.5
AIYR,147.5
AIYR,175.0
AIYR,201.0
AIYR,226.0
AIYR,253.0
AIYR,280.5
AIYR,305.5
AIYR,329.0
AIYR,355.0
AIYR,381.5
AIYR,405.5
AIYR,433.0
AIYR,458.0
AIYR,482.5
AIZR,27.5
AIZR,63.0
AIZR,98.5
AIZR,130.5
AIZR,176.5
AIZR,221.5
AIZR,254.5
AIZR,286.0
AIZR,330.5
AIZR,383.0
AIZR,415.5
AIZR,454.0
AIZR,484.0
ALA,18.0
ALA,42.5
ALA,67.0
ALA,91.5
ALA,116.0
ALA,140.5
ALA,165.0
ALA,190.0
ALA,214.5
ALA,238.5
ALA,263.0
ALA,287.5
ALA,312.0
ALA,336.5
ALA,361.0
ALA,386.0
ALA,410.0
ALA,434.5
ALA,459.0
ALA,483.5
ALML,33.5
ALML,77.0
ALML,119.5
ALML,162.0
ALML,204.5
ALML,246.5
ALML,289.0
ALML,330.5
ALML,373.0
ALML,415.0
ALML,456.0
ALML,498.0
AS2,21.0
AS2,49.0
AS2,76.5
AS2,104.5
AS2,133.0
AS2,161.0
AS2,189.0
AS2,217.0
AS2,245.0
AS2,273.5
AS2,301.5
AS2,329.5
AS2,357.5
AS2,385.5
AS2,413.5
AS2,441.5
AS2,469.5
AS2,497.5
AS4,33.0
AS4,75.0
AS4,117.5
AS4,159.0
AS4,202.5
AS4,245.0
AS4,286.5
AS4,329.0
AS4,371.0
AS4,413.5
AS4,455.5
AS4,497.5
AS5,40.0
AS5,89.5
AS5,138.5
AS5,187.5
AS5,236.0
AS5,285.5
AS5,335.0
AS5,384.0
AS5,434.0
AS5,484.5
AS7,23.5
AS7,55.0
AS7,86.5
AS7,117.5
AS7,148.5
AS7,180.0
AS7,211.5
AS7,242.5
AS7,274.0
AS7,305.5
AS7,337.0
AS7,368.5
AS7,400.0
AS7,431.0
AS7,462.5
AS7,494.0
AS8,67.0
AS8,144.0
AS8,219.5
AS8,289.0
AS8,363.5
AS8,435.5
ASER,29.0
ASER,66.0
ASER,102.5
ASER,139.0
ASER,176.5
ASER,213.5
ASER,251.0
ASER,288.0
ASER,325.0
ASER,361.5
ASER,398.5
ASER,435.5
ASER,472.5
ASGR,37.0
ASGR,82.5
ASGR,128.0
ASGR,172.5
ASGR,217.0
ASGR,262.0
ASGR,307.5
ASGR,353.0
ASGR,398.0
ASGR,443.0
ASGR,488.0
ASKL,35.0
ASKL,77.5
ASKL,123.0
ASKL,166.5
ASKL,210.0
ASKL,252.0
ASKL,297.5
ASKL,341.0
ASKL,386.0
ASKL,428.5
ASKL,473.0
ASKR,21.0
ASKR,49.0
ASKR,77.0
ASKR,105.0
ASKR,133.0
ASKR,161.5
ASKR,189.5
ASKR,218.0
ASKR,246.0
ASKR,274.0
ASKR,302.0
ASKR,330.5
ASKR,359.0
ASKR,387.5
ASKR,415.5
ASKR,444.0
ASKR,472.5
AUAL,28.5
AUAL,63.0
AUAL,97.0
AUAL,131.0
AUAL,166.0
AUAL,200.5
AUAL,236.5
AUAL,271.5
AUAL,305.5
AUAL,340.5
AUAL,375.5
AUAL,411.5
AUAL,447.0
AUAL,482.5
AUAR,35.0
AUAR,79.5
AUAR,123.5
AUAR,168.0
AUAR,212.0
AUAR,254.5
AUAR,298.0
AUAR,341.5
AUAR,384.0
AUAR,427.5
AUAR,472.0
AVAR,26.0
AVAR,58.5
AVAR,87.5
AVAR,120.0
AVAR,148.5
AVAR,178.0
AVAR,204.0
AVAR,231.5
AVAR,256.5
AVAR,287.5
AVAR,316.5
AVAR,343.5
AVAR,370.5
AVAR,399.5
AVAR,425.5
AVAR,453.0
AVAR,482.0
AVBL,27.0
AVBL,59.0
AVBL,89.0
AVBL,120.0
AVBL,152.0
AVBL,182.5
AVBL,214.0
AVBL,243.5
AVBL,274.0
AVBL,306.0
AVBL,334.0
AVBL,363.5
AVBL,393.5
AVBL,421.5
AVBL,454.0
AVBL,484.0
AVDL,63.0
AVDL,191.5
AVDL,347.5
AVEL,44.5
AVEL,92.0
AVEL,141.0
AVEL,190.0
AVEL,238.5
AVEL,286.5
AVEL,335.0
AVEL,383.0
AVEL,431.5
AVEL,479.5
AVG,45.0
AVG,98.5
AVG,153.5
AVG,206.0
AVG,259.0
AVG,312.0
AVG,365.0
AVG,418.5
AVG,470.5
AVHL,24.0
AVHL,55.5
AVHL,86.5
AVHL,118.0
AVHL,149.0
AVHL,180.0
AVHL,211.5
AVHL,242.5
AVHL,274.5
AVHL,306.5
AVHL,337.5
AVHL,369.0
AVHL,400.5
AVHL,431.5
AVHL,462.5
AVHL,494.0
AWAR,41.5
AWAR,93.0
AWAR,143.0
AWAR,194.0
AWAR,246.5
AWAR,297.5
AWAR,348.5
AWAR,400.5
AWAR,451.5
AWBL,73.0
AWBL,157.0
AWBL,238.5
AWBL,326.5
AWBL,408.5
AWBL,488.0
AWCR,146.5
AWCR,332.5
AWCR,437.0
BAGL,36.5
BAGL,84.0
BAGL,127.0
BAGL,176.0
BAGL,222.0
BAGL,266.0
BAGL,309.0
BAGL,352.5
BAGL,399.0
BAGL,444.5
BAGL,486.5
BDUL,20.5
BDUL,47.0
BDUL,74.5
BDUL,101.5
BDUL,127.5
BDUL,155.0
BDUL,182.0
BDUL,208.0
BDUL,235.5
BDUL,262.0
BDUL,289.5
BDUL,317.0
BDUL,343.0
BDUL,371.0
BDUL,398.5
BDUL,425.0
BDUL,452.0
BDUL,479.0
CEPDL,21.5
CEPDL,48.0
CEPDL,76.0
CEPDL,104.0
CEPDL,131.5
CEPDL,159.0
CEPDL,187.5
CEPDL,215.5
CEPDL,243.5
CEPDL,271.5
CEPDL,299.0
CEPDL,327.0
CEPDL,355.0
CEPDL,382.5
CEPDL,410.5
CEPDL,439.0
CEPDL,467.0
CEPDL,495.0
CEPDR,25.0
CEPDR,57.5
CEPDR,90.0
CEPDR,122.0
CEPDR,154.5
CEPDR,187.0
CEPDR,219.0
CEPDR,251.0
CEPDR,283.5
CEPDR,315.0
CEPDR,347.0
CEPDR,379.5
CEPDR,411.5
CEPDR,444.0
CEPDR,477.0
CEPVL,33.0
CEPVL,75.5
CEPVL,117.5
CEPVL,159.5
CEPVL,200.5
CEPVL,242.0
CEPVL,284.0
CEPVL,325.5
CEPVL,367.0
CEPVL,409.0
CEPVL,450.0
CEPVL,491.0
CEPVR,67.5
CEPVR,141.0
CEPVR,215.0
CEPVR,286.5
CEPVR,359.0
CEPVR,431.5
DA2,26.5
DA2,61.0
DA2,95.0
DA2,129.5
DA2,164.5
DA2,198.5
DA2,233.0
DA2,267.5
DA2,302.5
DA2,337.0
DA2,371.5
DA2,406.0
DA2,440.5
DA2,475.0
DA5,28.5
DA5,65.5
DA5,102.5
DA5,139.5
DA5,176.0
DA5,213.0
DA5,250.0
DA5,287.0
DA5,323.5
DA5,360.0
DA5,396.5
DA5,433.5
DA5,470.5
DA6,35.0
DA6,78.5
DA6,122.5
DA6,166.0
DA6,210.0
DA6,253.5
DA6,298.5
DA6,342.5
DA6,386.5
DA6,431.0
DA6,474.5
DA8,26.0
DA8,61.5
DA8,96.5
DA8,131.5
DA8,166.0
DA8,201.0
DA8,235.5
DA8,270.5
DA8,305.0
DA8,339.5
DA8,374.0
DA8,409.0
DA8,444.0
DA8,479.0
DB2,73.5
DB2,158.0
DB2,238.5
DB2,319.5
DB2,401.0
DB2,484.0
DB5,41.5
DB5,91.0
DB5,141.0
DB5,192.5
DB5,243.5
DB5,294.5
DB5,346.5
DB5,399.0
DB5,451.0
DB6,60.0
DB6,131.0
DB6,200.0
DB6,273.5
DB6,343.5
DB6,411.0
DB6,482.0
DD3,25.5
DD3,59.0
DD3,92.0
DD3,125.5
DD3,158.5
DD3,192.5
DD3,226.0
DD3,259.5
DD3,293.0
DD3,327.0
DD3,360.5
DD3,394.5
DD3,428.0
DD3,461.5
DD3,495.5
DD4,69.0
DD4,149.0
DD4,225.5
DD4,306.0
DD4,385.5
DD4,464.0
DVC,20.0
DVC,46.0
DVC,72.0
DVC,98.5
DVC,125.0
DVC,151.0
DVC,177.5
DVC,204.0
DVC,230.0
DVC,256.0
DVC,282.5
DVC,308.5
DVC,334.5
DVC,361.0
DVC,387.0
DVC,413.0
DVC,439.5
DVC,466.0
DVC,492.5
FLPL,25.0
FLPL,58.0
FLPL,91.0
FLPL,123.5
FLPL,156.5
FLPL,189.5
FLPL,222.0
FLPL,255.0
FLPL,288.0
FLPL,320.5
FLPL,353.5
FLPL,386.0
FLPL,419.0
FLPL,451.5
FLPL,484.0
HSNL,27.0
HSNL,61.5
HSNL,96.0
HSNL,130.5
HSNL,164.5
HSNL,199.0
HSNL,233.5
HSNL,267.5
HSNL,302.0
HSNL,337.0
HSNL,372.0
HSNL,406.5
HSNL,441.0
HSNL,475.5
HSNR,24.5
HSNR,56.5
HSNR,88.0
HSNR,119.5
HSNR,151.0
HSNR,183.0
HSNR,214.5
HSNR,246.5
HSNR,278.5
HSNR,310.5
HSNR,342.0
HSNR,373.5
HSNR,405.5
HSNR,437.0
HSNR,469.0
I1L,27.0
I1L,63.0
I1L,98.5
I1L,135.0
I1L,171.0
I1L,206.5
I1L,241.5
I1L,277.5
I1L,313.5
I1L,349.5
I1L,385.0
I1L,421.0
I1L,457.0
I1L,493.0
I1R,24.0
I1R,55.5
I1R,87.5
I1R,119.0
I1R,150.5
I1R,182.0
I1R,214.0
I1R,245.5
I1R,277.0
I1R,309.0
I1R,341.0
I1R,372.5
I1R,405.0
I1R,436.5
I1R,468.0
I2R,24.5
I2R,56.5
I2R,89.0
I2R,120.5
I2R,152.5
I2R,184.0
I2R,215.5
I2R,247.0
I2R,278.5
I2R,310.5
I2R,342.5
I2R,374.0
I2R,406.5
I2R,438.0
I2R,469.5
I3,31.0
I3,70.0
I3,110.5
I3,151.5
I3,194.5
I3,236.5
I3,276.5
I3,317.0
I3,358.0
I3,400.0
I3,443.5
I3,482.0
I4,51.5
I4,103.0
I4,154.5
I4,204.5
I4,259.0
I4,311.0
I4,370.0
I4,425.5
I4,471.5
I5,22.0
I5,51.5
I5,81.0
I5,110.5
I5,140.5
I5,170.5
I5,200.0
I5,229.5
I5,259.5
I5,289.0
I5,318.0
I5,347.5
I5,377.0
I5,407.0
I5,437.0
I5,467.0
I5,496.5
I6,26.5
I6,61.5
I6,96.5
I6,131.0
I6,166.0
I6,201.0
I6,236.5
I6,271.0
I6,305.5
I6,340.5
I6,375.5
I6,410.5
I6,445.0
I6,479.5
IL1DL,28.0
IL1DL,63.0
IL1DL,97.0
IL1DL,132.5
IL1DL,168.0
IL1DL,201.0
IL1DL,235.0
IL1DL,273.5
IL1DL,305.5
IL1DL,342.5
IL1DL,378.5
IL1DL,413.0
IL1DL,448.0
IL1DL,482.5
IL1R,28.0
IL1R,64.5
IL1R,101.0
IL1R,137.0
IL1R,173.0
IL1R,209.0
IL1R,244.5
IL1R,281.5
IL1R,318.5
IL1R,355.0
IL1R,390.5
IL1R,427.0
IL1R,462.5
IL1R,499.0
IL1VL,27.0
IL1VL,61.0
IL1VL,94.5
IL1VL,126.5
IL1VL,160.5
IL1VL,195.5
IL1VL,229.5
IL1VL,262.5
IL1VL,296.0
IL1VL,329.5
IL1VL,364.0
IL1VL,398.0
IL1VL,432.0
IL1VL,465.5
IL1VL,499.0
IL1VR,33.5
IL1VR,74.5
IL1VR,116.5
IL1VR,158.0
IL1VR,200.5
IL1VR,243.0
IL1VR,285.5
IL1VR,327.5
IL1VR,368.0
IL1VR,410.5
IL1VR,452.0
IL1VR,494.0
IL2DL,90.5
IL2DL,189.5
IL2DL,289.0
IL2DL,388.5
IL2DL,489.5
IL2DR,30.0
IL2DR,69.0
IL2DR,107.5
IL2DR,146.0
IL2DR,184.5
IL2DR,223.0
IL2DR,262.0
IL2DR,300.5
IL2DR,339.5
IL2DR,378.0
IL2DR,417.0
IL2DR,456.0
IL2DR,494.5
LUAL,60.5
LUAL,168.5
LUAL,260.0
LUAL,342.0
LUAL,428.0
M2L,52.5
M2L,112.0
M2L,172.5
M2L,235.5
M2L,304.5
M2L,371.0
M2L,432.5
M2L,497.0
M3R,50.0
M3R,104.5
M3R,154.0
M3R,204.0
M3R,261.0
M3R,313.0
M3R,366.5
M3R,413.5
M3R,470.0
M4,22.5
M4,50.0
M4,76.0
M4,101.0
M4,127.5
M4,153.0
M4,178.0
M4,203.0
M4,230.5
M4,257.5
M4,283.0
M4,308.5
M4,335.5
M4,362.0
M4,386.5
M4,411.5
M4,438.0
M4,465.0
M4,491.0
MCR,22.0
MCR,52.0
MCR,82.0
MCR,111.5
MCR,141.5
MCR,171.0
MCR,200.5
MCR,230.5
MCR,260.0
MCR,290.0
MCR,319.5
MCR,349.0
MCR,379.0
MCR,408.5
MCR,438.0
MCR,468.0
MCR,498.0
NSMR,63.0
NSMR,132.5
NSMR,202.5
NSMR,272.5
NSMR,345.5
NSMR,412.0
NSMR,481.0
OLLL,35.0
OLLL,77.5
OLLL,120.5
OLLL,161.0
OLLL,204.0
OLLL,245.0
OLLL,286.5
OLLL,328.5
OLLL,370.0
OLLL,412.0
OLLL,454.0
OLLL,496.5
OLLR,18.5
OLLR,42.5
OLLR,65.5
OLLR,90.0
OLLR,114.5
OLLR,139.0
OLLR,163.0
OLLR,188.0
OLLR,213.0
OLLR,236.5
OLLR,260.5
OLLR,284.5
OLLR,309.0
OLLR,333.0
OLLR,357.0
OLLR,381.0
OLLR,405.5
OLLR,429.5
OLLR,453.0
OLLR,477.5
OLQDL,38.5
OLQDL,84.5
OLQDL,134.0
OLQDL,184.5
OLQDL,232.5
OLQDL,277.5
OLQDL,327.0
OLQDL,375.0
OLQDL,422.0
OLQDL,469.5
PHAR,79.5
PHAR,166.5
PHAR,265.5
PHAR,354.0
PHAR,441.5
PHCL,21.5
PHCL,49.5
PHCL,78.5
PHCL,107.0
PHCL,135.5
PHCL,164.5
PHCL,193.0
PHCL,221.0
PHCL,249.5
PHCL,278.0
PHCL,306.5
PHCL,335.0
PHCL,363.5
PHCL,392.0
PHCL,420.5
PHCL,449.5
PHCL,478.5
PLML,61.0
PLML,134.0
